id,trait,ncase,group_name,year,author,consortium,sex,pmid,population,unit,sample_size,build,ncontrol,category,subcategory,ontology,note,mr,nsnp,doi,coverage,study_design,priority,sd,catalog_row_original,technical_scope_status,technical_scope_reason,eqtl_pattern_outside_scope,ihd_candidate_index,ihd_saved_estimate,ihd_output_status,ihd_outcome_id,ihd_method,ihd_nsnp_or_snp_raw,ihd_instrument_count,ihd_single_instrument_snp,ihd_beta,ihd_se,ihd_p_value,ihd_p_for_bh,ihd_q_bh_m11988,ihd_output_index,ihd_output_file,dd_candidate_index,dd_saved_estimate,dd_output_status,dd_outcome_id,dd_method,dd_nsnp_or_snp_raw,dd_instrument_count,dd_single_instrument_snp,dd_beta,dd_se,dd_p_value,dd_p_for_bh,dd_q_bh_m11988,dd_output_index,dd_output_file,ihd_candidate,dd_candidate,ihd_scheduling_status,dd_scheduling_status,ihd_availability_note,dd_availability_note
bbj-a-113,Endometrial cancer,999,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,90730,HG19/GRCh37,89731,Binary,NA,NA,NA,1,8876119,,,,0,,11,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-114,Endometriosis,734,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,103106,HG19/GRCh37,102372,Binary,NA,NA,NA,1,8877964,,,,0,,12,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-115,Epilepsy,2143,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,210310,Binary,NA,NA,NA,1,8885805,,,,0,,13,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-117,Esophageal cancer,1300,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,197045,HG19/GRCh37,195745,Binary,NA,NA,NA,1,8885106,,,,0,,14,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-119,Gastric cancer,6563,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,202308,HG19/GRCh37,195745,Binary,NA,NA,NA,1,8885324,,,,0,,15,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-12,Basophil count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,62076,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,16,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-121,Glaucoma,5761,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,206692,Binary,NA,NA,NA,1,8885805,,,,0,,17,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-123,Graves' disease,2176,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,210277,Binary,NA,NA,NA,1,8885805,,,,0,,18,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-125,Hematological malignancy,1236,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,211217,Binary,NA,NA,NA,1,8885805,,,,0,,19,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-127,Interstitial lung disease,806,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,211647,Binary,NA,NA,NA,1,8885805,,,,0,,20,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-129,Ischemic stroke,17671,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,210054,HG19/GRCh37,192383,Binary,NA,NA,NA,1,8885705,,,,0,,21,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-13,Creatine kinase,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,106080,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,22,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-131,Keloid,812,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,211641,Binary,NA,NA,NA,1,8885805,,,,0,,23,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-133,Lung cancer,4050,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,208403,Binary,NA,NA,NA,1,8885805,,,,0,,24,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-135,Nephrotic syndrome,957,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,211496,Binary,NA,NA,NA,1,8885805,,,,0,,25,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-137,Osteoporosis,7788,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,204665,Binary,NA,NA,NA,1,8885805,,,,0,,26,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-139,Ovarian cancer,720,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,90451,HG19/GRCh37,89731,Binary,NA,NA,NA,1,8876088,,,,0,,27,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-14,C-reactive protein,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,75391,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,28,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-140,Pancreatic cancer,442,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,196187,HG19/GRCh37,195745,Binary,NA,NA,NA,1,8885075,,,,0,,29,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-142,Periodontal disease,3219,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,209234,Binary,NA,NA,NA,1,8885805,,,,0,,30,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-144,Peripheral artery disease,3593,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,208860,Binary,NA,NA,NA,1,8885805,,,,0,,31,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-146,Pollinosis,5746,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,206707,Binary,NA,NA,NA,1,8885805,,,,0,,32,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-148,Prostate cancer,5408,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,109347,HG19/GRCh37,103939,Binary,NA,NA,NA,1,8878753,,,,0,,33,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-149,Pulmonary tuberculosis,549,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,211904,Binary,NA,NA,NA,1,8885805,,,,0,,34,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-15,Calcium,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,71701,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,35,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-151,Rheumatoid arthritis,4199,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,208254,Binary,NA,NA,NA,1,8885805,,,,0,,36,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-153,Type 2 diabetes,40250,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,210865,HG19/GRCh37,170615,Binary,NA,NA,NA,1,8885694,,,,0,,37,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-155,Urolithiasis,6638,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,205815,Binary,NA,NA,NA,1,8885805,,,,0,,38,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-157,Uterine fibroids,5954,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,100964,HG19/GRCh37,95010,Binary,NA,NA,NA,1,8877739,,,,0,,39,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-158,hepatocellular carcinoma,1866,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,197611,HG19/GRCh37,195745,Binary,NA,NA,NA,1,8885115,,,,0,,40,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-159,Coronary artery disease,29319,public,2020,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,183134,Disease,Cardiovascular,EFO:0001645,NA,1,8881048,,,,0,,41,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-16,Chloride,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,126402,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,42,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-160,Breast cancer,5552,public,2020,Ishigaki K,Biobank Japan,Females,,East Asian,NA,95283,HG19/GRCh37,89731,Disease,Cancer,MONDO:0007254,NA,1,8872152,,,,0,,43,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-17,Diastolic blood pressure,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,136615,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,44,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-18,E/A ratio,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,8600,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,45,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-19,Ejection fraction,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19516,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,46,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-2,Body mass index,,public,2019,Ishigaki K,NA,Males,28892062,East Asian,NA,85894,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,47,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-20,Eosinophil count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,62076,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,48,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-21,Fractional shortening,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19580,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,49,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-22,Fibrinogen,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,18348,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,50,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-23,Gamma glutamyl transferase,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,118309,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,51,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-24,High-density-lipoprotein cholesterol,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,70657,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,52,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-25,Hemoglobin,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108769,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,53,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-26,Hemoglobin A1c,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,42790,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,54,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-27,Hematocrit,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,108757,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,55,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-28,Interventricular septum thickness,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,19318,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,56,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-29,Potassium,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,132938,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,57,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-3,Body mass index,,public,2019,Ishigaki K,NA,Females,28892062,East Asian,NA,72390,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,58,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-30,Lactate dehydrogenase,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,126319,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,59,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
