exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10038382,-0.31166518254675,1.15761353517364,0.787752103714477
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10460095,0.121951219512195,1.03189493433396,0.90592359597856
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1047586,-0.636160714285714,1.29464285714286,0.623158194776524
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1051474,-0.4304381245196,0.922367409684858,0.640738381802541
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10518910,0.647058823529412,1.22268907563025,0.596660042612065
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10760023,-1.21461187214612,1.0958904109589,0.267717884764295
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10765775,-0.772849462365591,0.84005376344086,0.357572759228744
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1076780,-0.77577045696068,1.44527098831031,0.591430153970147
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10772644,1.97645600991326,0.916976456009913,0.0311301237491185
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10773002,-0.648105887722501,0.588772250114103,0.270994510576623
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10783860,-1.66666666666667,1.16465863453815,0.152420332659525
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10844179,-1.4078110808356,1.07175295186194,0.188994545355374
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10849559,2.79650436953808,1.37328339575531,0.0417138540813517
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10856785,-0.353356890459364,1.06890459363958,0.740962879116256
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10862376,0.823019801980198,0.891089108910891,0.355688826749295
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10867522,-0.529336734693878,1.35841836734694,0.69677957599902
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10875121,-0.507088331515813,0.708833151581243,0.474371416222091
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10887801,-0.211591536338546,1.01195952161914,0.8343772713561
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10940921,-0.624426078971534,1.01010101010101,0.536455493807192
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10951590,-2.27467811158798,1.25536480686695,0.0699914792355599
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10963297,-1.53886554621849,0.656512605042017,0.0190781713977672
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10994777,-0.842465753424658,1.18493150684932,0.477094981768778
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11023749,1.03356890459364,1.01590106007067,0.308967317012243
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11030086,-0.138592750533049,1.33262260127932,0.917169348571288
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1106090,0.562659846547315,0.946291560102302,0.552114494149917
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11081529,-0.327993897787948,0.900076277650648,0.715554273578517
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11123818,-0.470927438731379,0.543008169149447,0.385801410089173
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11124434,-3.89261744966443,1.36241610738255,0.00427473396017256
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11130380,0.236686390532544,1.37278106508876,0.863112229226665
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs111821073,-0.108303249097473,1.17689530685921,0.926678542313114
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11214468,-2.05616850551655,1.19358074222668,0.0849447669185881
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11222609,0.22140221402214,1.16236162361624,0.848935998880548
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs112372188,0.711610486891386,1.12359550561798,0.526515990078957
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11245388,-0.323624595469256,1.20819848975189,0.788809283599619
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs112687095,-1.41132075471698,1.64528301886792,0.391003923125614
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs113182709,1.87906976744186,1.55968992248062,0.228291574617535
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs113520408,-2.5920245398773,1.02760736196319,0.0116561042022724
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs113615161,-2.54076086956522,1.1820652173913,0.0316007026949735
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1143770,0.0264084507042254,1.02992957746479,0.979543663087131
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs115000530,-2.64522821576764,1.01313969571231,0.00902986181835615
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11575902,-2.76489028213166,1.28526645768025,0.0314588776408367
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1158542,0.327272727272727,1.34545454545455,0.8078169693465
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11601122,0.251669234720082,0.652285567539805,0.699624966681733
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11620355,-2.21526195899772,1.20159453302961,0.0652411795533367
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11627087,0.486577181208054,1.43176733780761,0.733974198916146
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11635092,-0.901705930138099,1.02355808285946,0.378343594395944
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11657342,-0.591168091168091,0.826210826210826,0.4742894910145
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11658532,-2.42253521126761,1.27699530516432,0.0578201749265435
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11663602,-0.725474031327288,0.956306677658697,0.448079492505683
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11678980,0.29243119266055,0.653669724770642,0.654609072682014
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11681861,0.174216027874564,1.31010452961672,0.894210207306349
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11694904,1.01234567901235,1.10288065843621,0.358665751426213
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1171044,-0.377754459601259,1.4585519412382,0.795640791339067
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11713577,-1.70675830469645,1.30584192439863,0.191206753235126
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11732657,-0.455259026687598,1.02825745682889,0.657947953012137
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11733040,-2.44491080797482,1.16474291710388,0.0358081658506369
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs117468730,-1.8318659471741,1.24396478273218,0.14085818563568
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11752914,-1.1341059602649,1.23344370860927,0.357853404417225
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11772580,1.03419516263553,1.05921601334445,0.328877202954298
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs117813291,3.52778630641695,3.56155971753147,0.321921366147521
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs117862461,2.00217627856366,1.78817555313747,0.262852087681798
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11787240,0.923824959481361,1.33711507293355,0.489622672771977
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11789013,1.31679389312977,1.31679389312977,0.317310507862914
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11791889,1.68944099378882,1.40372670807453,0.228767490506915
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs117931400,0.365482233502538,1.16243654822335,0.7532092972923
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11846738,0.185387131952017,1.36314067611778,0.89182128096468
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11871429,-1.43859649122807,0.905263157894737,0.112027144098557
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11930840,-3.16742081447964,1.26696832579186,0.0124193306515523
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs11956806,-1.4047866805411,1.33194588969823,0.29156827053282
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1200083,-1.57043879907621,1.33949191685912,0.241030964418943
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12005151,-0.596846846846847,1.32882882882883,0.653321619681912
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12028010,-0.866745283018868,0.778301886792453,0.265435219655808
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12126231,-1.24463519313305,1.19098712446352,0.296002151156247
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12131391,-0.167973124300112,1.47816349384099,0.909526060036958
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12137565,-0.106382978723404,1.30023640661939,0.934791297548209
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12147929,1.30061349693252,1.39877300613497,0.352461927180254
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12148463,-0.0645682001614205,1.14608555286521,0.955072524829377
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12193669,-2.09428129829985,1.22874806800618,0.0883059142606411
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12195064,0.647359454855196,1.25212947189097,0.605151410056409
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12316750,1.64392905866303,1.35743519781719,0.225874220398271
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12332731,-0.669577874818049,1.71761280931587,0.696661882488179
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12375949,-1.52038700760194,0.774015203870076,0.0494969674357421
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12468040,0.942737430167598,0.775139664804469,0.223902567922775
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1247777,-0.305522914218566,1.32784958871915,0.818023004294611
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12503522,-1.49333333333333,1.06666666666667,0.161513318467542
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12519073,1.54791154791155,1.0974610974611,0.158407511052771
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12548614,1.32718894009217,1.35483870967742,0.327287636085746
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12574281,0.95636025998143,1.07706592386258,0.374577849713575
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12602286,-1.13462669018225,0.858318636096414,0.186195521703856
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12614263,1.29341317365269,1.31736526946108,0.326189429199069
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12638072,-0.885826771653543,1.25984251968504,0.481977853526586
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12643771,-1.19235836627141,0.836627140974967,0.154100306534163
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12644463,0.936073059360731,1.31278538812785,0.475818853277944
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12647336,-1.41090909090909,1.19272727272727,0.236838147621406
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12655753,-0.0034447123665174,0.781949707199449,0.996485101409194
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12682775,-1.35636057287279,1.01937657961247,0.183327736686162
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12789951,-2.10135970333745,1.44622991347342,0.146226127091941
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12804787,-2.24366041896362,1.51047409040794,0.137437509191314
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12890551,0.462822458270106,1.61608497723824,0.774583280051814
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1291818,-1.68663594470046,1.02304147465438,0.0992196360395762
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs12940014,-3.88888888888889,1.17521367521368,0.000935994399950627
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13009008,0.972515856236786,1.19450317124736,0.415553702603859
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13029509,-1.89704480457579,1.05815061963775,0.0730060623554023
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13090388,-0.838008415147265,0.389200561009818,0.0313066440353397
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13097447,-0.580310880829016,1.17098445595855,0.620194138657218
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13141210,-0.440852314474651,0.808229243203527,0.585440934568927
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13145650,-0.0208550573514077,1.03753910323253,0.983963199280088
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13298735,-1.03189493433396,1.73076923076923,0.551037643186403
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1334297,-1.0126582278481,0.506329113924051,0.0455002638963584
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13422673,-0.166527893422148,0.924229808492923,0.857011117706058
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs13428598,-0.612492419648272,0.703456640388114,0.383923628411138
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1358906,0.516483516483516,1.20879120879121,0.669180694832271
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1363862,-1.00768573868488,1.14432109308284,0.378535974847936
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1368885,2.53164556962025,1.36939010356732,0.0644954376898631
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1381247,1.65844027640671,1.09575518262586,0.130149271197461
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1391438,0.167664670658683,0.694610778443114,0.809261146695181
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1427298,-0.950980392156863,1.09803921568627,0.386450992316402
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs143743568,-0.972762645914397,1.31517509727626,0.459515446969374
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1437543,-0.028116213683224,1.18088097469541,0.981004543302515
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs143970234,-0.533898305084746,1.56779661016949,0.733449498149666
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs144596928,-1.07277628032345,1.11590296495957,0.336374880000095
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1447360,-0.78125,1.32211538461538,0.554581334468169
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs144760360,-0.336923501795084,1.32560066280033,0.799366801308213
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1450782,-0.582010582010582,1.16402116402116,0.617075077451974
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs145702246,-0.840306834030683,1.41562064156206,0.552782317490662
