exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs10002845,1.93628762595179,1.24475633096901,0.119813814205544
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs112589062,-1.13721888645383,1.20684453256325,0.346035131005811
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs114050239,0.0770766655900402,1.21120474498635,0.949259776414252
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs116161686,0.586955147596644,1.50802322536369,0.697112258195711
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs11678980,2.95609331980872,1.09162923247838,0.00676972425285332
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs117267361,-0.546102258923923,1.11517143527923,0.624344420390665
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs11731886,1.70518021990945,1.29358499441406,0.187442790475691
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs11760498,-0.496291110185489,1.07234329165079,0.643500621962705
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs11791655,-0.901202845119726,1.60131084050199,0.573577415407922
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs118030918,3.53445049690216,5.10321729499242,0.488565260223692
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs118181603,1.44925760017648,2.0283478463358,0.474917122419906
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12041138,0.92686157887479,1.36768598833963,0.497970836381208
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12116461,1.07003529630318,1.13691250232213,0.346614432503051
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12134822,-1.77110431804433,1.71360093109484,0.301343288413487
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1216743,-0.855411957233476,1.23220055744346,0.48754746483044
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1225061,3.6170954604859,1.37568220792251,0.00855582406745573
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1230666,0.644193924584884,0.810795801632698,0.426892451605502
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12329231,1.35848061197573,1.43761540490636,0.344682295388082
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1257823,-0.874466911517402,1.43502262402856,0.542275904821567
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12593036,-2.18045978903023,0.99560616782135,0.028518243666377
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12651903,-1.64654283685697,1.16411627319187,0.157240260261951
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12675125,1.99186342581718,1.45631524057388,0.171392868497227
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1275988,2.50579670657339,1.19271546295415,0.0356482149834369
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1277930,0.0793782518022471,0.952539021626965,0.933586496294755
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12828318,-0.571209092072997,1.47726489329223,0.69900299643425
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12894888,-0.613213752935064,1.21527816490767,0.613848832882684
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12939066,0.970639372287518,1.57728897996722,0.538300749018723
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs12986231,1.05422873807835,1.27098604871128,0.406845652954037
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs13163820,0.345530200386575,1.46588569860971,0.813654383818838
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs13432519,-0.696845901239515,1.63758786791286,0.670448961276106
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs13437980,-0.0518479920568876,1.41285778355019,0.970726403178714
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs139077276,0.894257369914186,0.92509383094571,0.333710695743566
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1421085,1.42283941834325,1.04341557345171,0.172682041418748
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs145093377,-1.04629355443688,1.0314875135722,0.310413833643155
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs146396094,1.95169631477571,1.04452486895525,0.0616921971991113
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1479406,1.7721117223868,1.04916067146283,0.0912049373188512
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1515108,-2.42494555759483,1.06507412725734,0.0227990250205212
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs17027517,-2.72564120414345,1.2861250703534,0.0340679886708987
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs17033621,0.0124695120430547,1.37164632473602,0.992746603901876
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs174548,-3.26405349675281,1.34898151895319,0.0155357570577794
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs17611963,-0.312398759661221,0.896700143472023,0.727549491580052
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs17827419,0.379235151650966,2.00822250760625,0.850217278471287
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs184021,0.280430873789611,1.22069909767242,0.818301791692596
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1923960,1.10108537196614,1.34194779708373,0.411923823660162
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1974890,0.594756232549687,1.08212592311124,0.582581190252438
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1980011,0.500829863436508,1.4559007658038,0.730846286091748
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2010848,-0.144421395373264,1.44421395373264,0.920344325445942
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2017368,1.05225357640948,1.21927795361733,0.388129935298758
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs205262,0.313216700714482,1.40367484394268,0.823426161663508
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs223333,-0.382162127733142,0.991801712450296,0.699999529956414
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2289591,1.13007119448525,1.44109996360963,0.432938804053985
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2339638,0.369311936689382,0.914486700373708,0.686325854518709
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2410534,2.06673158323563,1.30164344905705,0.112334679579725
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2613499,1.99654120326758,1.10372172152468,0.0704638682441877
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2643826,-0.240337241216876,1.33387168875366,0.857011117706058
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2658056,1.9041322879861,1.27298731612554,0.134706219472638
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs2734837,3.20254386463006,1.23786269944921,0.00967717792735944
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs3087243,0.90955628812411,1.35267345413329,0.501320304248941
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs3114913,1.42251802933836,1.20698499459012,0.23856887422207
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs313017,-1.66954005330934,1.26374906812999,0.186467717210242
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs316100,-0.536900684610803,1.36098080517622,0.693215313221832
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs325485,3.49836027454796,1.19405111167206,0.00339153424811433
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs332795,-0.493270080381577,1.168835625252,0.673011624647545
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs34118837,1.26728007782171,1.44577022962758,0.380734796772787
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs34830321,-4.53933842453651,2.84461194375796,0.110540779852695
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs34875178,0.465367243931674,1.38352423871579,0.73659666753243
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs35117964,1.10866907691107,0.497438031575936,0.0258299995317946
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs35427,0.538778826875348,1.00689813547196,0.592589201524519
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs35430985,1.64186595154283,1.40897716408995,0.243901926538262
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs35511257,0.165501391148486,2.61055024528555,0.949450273231846
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs35687905,1.64005825269147,1.23174499475998,0.183027270058012
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs36109400,0.291976130951295,1.45075640066425,0.840496949908611
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs3794620,2.08488918648506,1.20239640913689,0.0829278505187592
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs3910664,0.467104985833048,1.26460130310898,0.711852425954584
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs3918226,1.39656591791133,1.03884903367439,0.178838588329766
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs39654,1.99358666929971,1.04381188817107,0.056144813896727
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs409645,-1.28351079265162,1.29467175606598,0.321500399049801
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs4315061,0.0757957197074285,1.18024763544424,0.948794906468399
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs4318980,1.2815569215415,1.23619207476127,0.299876975108697
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs440646,-0.421077896252723,1.16849116210131,0.71857766592822
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs4459609,-0.428227139641883,1.11538231720676,0.701031389251429
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs4710176,-0.918380977825274,1.15841236975688,0.42789855627576
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs4808569,0.979510244877561,1.42928535732134,0.49314536689562
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs4809370,-0.851637455501943,1.38695242753174,0.539192141149036
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs4921914,-0.0635451859226231,1.32385804005465,0.961716242608477
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs4978568,-0.384156903648792,1.35036972191697,0.776040445079748
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs498337,0.0446317988177037,1.47284936098422,0.97582537985171
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs557675,2.56085523252566,1.3037081183767,0.0494969674357421
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs57799251,1.20055502582348,1.39679959735231,0.390062441193598
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs57827188,3.01195747116051,1.754465226951,0.086027017609742
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs58854324,3.56034110111212,1.50901874484222,0.0183057468638914
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs59287596,-1.61567969625222,1.40183973645413,0.249098268106654
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs602662,0.761984895527578,1.18053997898639,0.518632665552959
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs6026727,0.458391428080295,0.942249046609495,0.626622284221623
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs6031435,-0.644248535623079,1.40446180765831,0.646438412661424
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs60339919,0.480178242163491,1.18123847572219,0.684372270750365
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs61830693,2.18254097136065,1.66938401678478,0.19107927480943
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs62010814,0.416376810858295,1.34053022032427,0.756100119246287
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs62442944,1.38147521300757,0.882408251240435,0.117448434536242
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs6575340,-0.385643354882941,1.2104916417159,0.750041934181799
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs6589566,-0.737112711234572,1.20618443656566,0.541126024471668
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs6734812,2.70619016398282,1.36539594637315,0.047481257296552
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs68033110,-0.609229370311434,1.27301659468061,0.63224354826744
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs6836129,0.778603963094172,1.22630124187332,0.525480178215686
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs6910879,1.4612712383259,2.65870183639851,0.582581190252438
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs6983152,1.45429414528523,1.40457468732676,0.30048297194967
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs7034821,1.87022225407697,1.46706057056337,0.202376797633204
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs7080718,-1.07049588854893,1.36923892721375,0.434321434162717
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs7107211,-0.264422441292209,1.32211220646104,0.841480581121794
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs7184491,-0.925012871641374,1.20426204043877,0.442418306507578
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs7241572,1.53900445036956,1.29394004744447,0.234284684616336
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs7276552,-1.44664643622041,1.14149445358017,0.205038485639118
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs72831345,1.03562285317312,1.15783921472771,0.371084141795866
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs72834305,1.26355057712171,1.00281791835057,0.207669362242601
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs72840194,0.264745523393877,1.25954688402542,0.833518539004947
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs72913737,1.1011579637317,1.15359405724274,0.339807612284684
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs72916398,0.74227145410202,0.863828103380051,0.390185262961661
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs73125870,-0.216627115806887,1.44746300107329,0.881032975386536
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs7412,0.685867492478839,1.26781566791543,0.588518882160993
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs7422793,1.37428950994246,1.33905131737983,0.304742757088453
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs74542172,-1.06060671920437,1.44312061793382,0.462376182897028
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs75641275,1.84664009162176,1.16302813462717,0.112334679579725
