exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p,outcome_code
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10050620,0.253321146397504,0.0484084888632331,1.66789612109024e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1065634,0.253893118350256,0.0483405454254282,1.50311613186585e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10733682,0.252451678457518,0.0484288242363893,1.8597198649422e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10756798,0.251990394454685,0.048453786152924,1.98610158457404e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10760277,0.251483474234509,0.0484408574623032,2.08542684933431e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10766451,0.254420996469568,0.0483708736609572,1.4421419255738e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10770992,0.249149325551528,0.048236444231226,2.40223397520316e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10771041,0.251770168085714,0.0484403397928012,2.01952861663613e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10774830,0.251873743760089,0.048424883036211,1.97868579356076e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10779795,0.249564857940078,0.0483811324015638,2.4918938193632e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10793974,0.254263448974309,0.0483189241155973,1.42348110350429e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10795776,0.251053899647906,0.0484227246840246,2.16444402136195e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10798945,0.253693878175438,0.0483582622092939,1.55324741632098e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10820852,0.249992903005195,0.0483833519329233,2.37983214527875e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10822118,0.252064686066725,0.0484268194377508,1.93929939779471e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10837017,0.252921963409107,0.0484031861618841,1.73857539708243e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10846458,0.250891633122536,0.0484175246029188,2.19713308309586e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10862431,0.249808934778481,0.0483358354552598,2.36367938332566e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10865534,0.252057233222014,0.0484247231309209,1.93855366109448e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10888691,0.252876732711724,0.0483898982002012,1.73388169388569e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10896012,0.254411305963039,0.0483470303160282,1.42348802832049e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10903791,0.249544629225327,0.0483440400721771,2.44522653586571e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10915840,0.251856877235146,0.048434838658238,1.99383378803083e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10929925,0.250719008084406,0.048406127920472,2.2249450713675e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10938398,0.245021410092553,0.0484637185384271,4.28657889273405e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10947793,0.248500383627694,0.0483633669205168,2.77390766182106e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10950290,0.251187792309053,0.0484466797005414,2.16212135598e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10951992,0.24774484771895,0.0481794505444147,2.71645555069213e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10954772,0.247173928312677,0.0482566003748203,3.02191576332073e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10989067,0.250778899844941,0.0484536593716957,2.27125960751753e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10992854,0.252247920312183,0.0484485830751552,1.9242772421927e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11001259,0.250504799597476,0.0484004501057363,2.27093487204078e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11004108,0.253303821757927,0.0483959039990249,1.65886755930637e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11012732,0.24908531971446,0.0484719373053413,2.7656744922174e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11013304,0.251493846604897,0.0484104336563927,2.0468247867501e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1106761,0.252650029643999,0.0484504704611432,1.84210073175915e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11071646,0.252763991877316,0.048473245570313,1.84308516926216e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11075263,0.251398243884498,0.0484377661633369,2.10148695013956e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11084922,0.249550521415043,0.0483175636839859,2.40696984004874e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11099020,0.251582603401033,0.0484432396446984,2.06545544925054e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11102121,0.249442490655619,0.0482880561925938,2.39517426525001e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11105842,0.253294116129087,0.0484191116119393,1.6833679959039e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11122449,0.250933372713111,0.048409839273639,2.17736803951114e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11124548,0.253206069224573,0.048399003743831,1.68014494982593e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11129446,0.253624873265902,0.0483686649255657,1.57492078807214e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11135450,0.253452413167099,0.0484286328144084,1.66308381659255e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11137022,0.25046039241543,0.0483440764371118,2.20950954983956e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11150745,0.250339666245428,0.0484664604609401,2.40163296506405e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11164968,0.251725549496281,0.04842594861678,2.01277104064581e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11165643,0.252282861073126,0.0484870323433247,1.959917044836e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs112325820,0.25102056527382,0.0484169935502138,2.16531258457273e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11242730,0.247169419040574,0.0481929645287851,2.91680337426265e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11245344,0.251711521225561,0.0484340527973099,2.02536010844786e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs113079574,0.250247216163523,0.0484033284958708,2.34042038177838e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs113132247,0.250112883313552,0.0484335388812001,2.41671983911411e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs113624107,0.25114144780932,0.0484210012252467,2.14142341476431e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs113866544,0.25267417408019,0.0485051473480322,1.89632139340629e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs113963705,0.252207050472623,0.0484080948457782,1.88822206727733e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs114049355,0.25278764943289,0.0483927008716826,1.75408341519853e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs115000305,0.251169491804605,0.0484503383480397,2.17106297972266e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11525873,0.253938964524897,0.0483960847878786,1.54514327237457e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11533200,0.252861097091265,0.0484186076840364,1.76623662838758e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs115494422,0.251719582442907,0.0484170751546927,2.00381141117343e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs115774037,0.251500572357425,0.0484279777890365,2.06609060886055e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11603042,0.252482382052111,0.0484192713505588,1.84311822285476e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11603984,0.250673140983621,0.0484444355819713,2.28587573668039e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11637960,0.251751666090265,0.0484270364765608,2.00820201165646e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11656076,0.250504196010122,0.0484118121429344,2.28591031232201e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11656758,0.251381208476648,0.0484357315663385,2.10299638368891e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11664848,0.252169328580819,0.0484347957564903,1.92573468259251e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1167311,0.251740362783761,0.0484823342650627,2.07584499630028e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11691869,0.250973394910279,0.0484794515665396,2.25600014284871e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs117176448,0.252300228966518,0.0484414700019033,1.90525191884552e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs117342986,0.248818703828445,0.0481858267347533,2.42073993803621e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs117435593,0.251450654935807,0.0484049486981415,2.05016807221605e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11757278,0.253010706305078,0.0484310101973709,1.74959951496883e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11773362,0.252625757550694,0.0484220991435471,1.8168895380079e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1182199,0.24763362576233,0.0482517795462408,2.86506110617137e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11841757,0.251626860925972,0.0484400514579799,2.05156611100163e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11854132,0.249235227456475,0.0483694259958868,2.56703479393358e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11914525,0.252313399384113,0.0484831470876731,1.94890238700602e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs11929078,0.252855575635431,0.0484005750257873,1.74884430329247e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12031634,0.251527063996824,0.0484333358502009,2.06639650255897e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12042959,0.252887825681722,0.0484280320382873,1.77067267894955e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12053069,0.251518498417058,0.0484242466897628,2.05755509085382e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12071132,0.253175087402054,0.0483858325917681,1.67303399482684e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12072739,0.24971281421682,0.0484205982009523,2.50722389410386e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12089815,0.250611985800306,0.0483867670372704,2.22660763565872e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12139715,0.251528958395555,0.0484300015227606,2.06199644723684e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12140153,0.252003243095727,0.0484731905584727,2.0056094598168e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12144626,0.24954936181657,0.0484021783538786,2.52622465258101e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12195911,0.251898349496335,0.0484261630493258,1.97474309262838e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12259464,0.253328315658886,0.0484087978568632,1.66686107913015e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1229984,0.251727872305854,0.0484132865668705,1.99758972860842e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12302594,0.252299589083344,0.0484237820641034,1.88595187012481e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs12316080,0.254814644426879,0.0483369192158184,1.35213024179968e-07,IHD
