exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p,outcome_code
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10119918,0.944992737640632,0.102303446001195,2.53139377186648e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11625230,0.952625615350523,0.102830962115531,1.96921299077508e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11680586,0.956343644862699,0.102595442165318,1.14704560546061e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11691253,0.96034540603999,0.102346041625734,6.39289017575665e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs117228037,0.949526485021056,0.102545452314751,2.0526293488435e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs117626157,0.952701636050807,0.102499228217903,1.47594032169607e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs117634640,0.960271993850517,0.101609556391085,3.36871156084988e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs117726841,0.955476683241421,0.102483953928976,1.12901129044769e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11862605,0.952459907112157,0.102559698338401,1.58872894353599e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11878491,0.967157345200732,0.101820469863617,2.12622066947792e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11936348,0.941190837819258,0.10214637317294,3.13787625419809e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11939621,0.951870607516983,0.102647134112373,1.8059041173569e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11988811,0.969013270497156,0.101888575003394,1.89712889257802e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs12122172,0.948631820090933,0.102367195364485,1.91542333707364e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs12218281,0.95915925617074,0.102627229493369,9.09818702531977e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs12414708,0.965388526970609,0.102028863265256,3.02351603019031e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs12550637,0.963178909508411,0.10220167349539,4.32996935416463e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs12698982,0.953818580511551,0.102585963749675,1.43449897153664e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs12967855,0.957326923352684,0.102645099835241,1.09350300716189e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs13218908,0.965519641561836,0.101797340928345,2.43026288284042e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs13226725,0.958887318929568,0.102415735871404,7.77281471577221e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs13274119,0.957852416054161,0.102604804396059,1.00652058697917e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs13408882,0.952416006191335,0.102611536557466,1.66696461678714e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs140018085,0.955082489253603,0.102408669513214,1.09747292434595e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1404087,0.952576937841921,0.10278109768687,1.89639073578863e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs143032062,0.953635509706412,0.1024524627869,1.30166453819994e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1464307,0.959001783116495,0.102829183867237,1.09772479330359e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs146657712,0.953928650952125,0.102378340961299,1.18911547748539e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs147861665,0.959395881183395,0.102285523845397,6.62321901237992e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs148200829,0.945470648870091,0.102244398859935,2.30529492598632e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1483246,0.950482230465168,0.102657655656893,2.06826931888491e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1541448,0.965372484324189,0.101755966932837,2.37473688308308e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs159963,0.949930168479086,0.102590214273768,2.05465269605181e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs17374635,0.96163919456894,0.102235915636376,5.1498604803446e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs17604672,0.972388151189737,0.100094775240377,2.61082095437863e-22,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs17655,0.955422603124853,0.102596259419938,1.24916261322982e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs17677211,0.954098783457406,0.102603350078724,1.41899758300788e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1799964,0.951516193819403,0.102594089901762,1.78334870261237e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1821883,0.956107804061986,0.102543422771087,1.12107907046151e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1845793,0.947649549303469,0.102514492045748,2.37329673435408e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1921111,0.950111014162259,0.102588489704685,2.01806326441286e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs1959555,0.962398971123744,0.102612648494956,6.66325252557911e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2011114,0.949547485097528,0.102535464421786,2.03146220613302e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs209190,0.960833337255962,0.102478745371623,6.85698857996466e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2165446,0.943791209245519,0.102122230800102,2.4242973100652e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2165985,0.953614275594529,0.102623039999334,1.50848676257005e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2166744,0.956478398162611,0.102527213614785,1.06854572202475e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2193417,0.954221496622688,0.10263020005069,1.43560101298391e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2282686,0.944505724386963,0.102259324002278,2.54983565779053e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2303696,0.956796367078328,0.102579915675897,1.08574972099994e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2382488,0.952353355052694,0.102594321079775,1.65221359652842e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs240764,0.954621420588651,0.102581976914903,1.32815948672512e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2542383,0.958588327604574,0.102485014740745,8.48354597824809e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2579365,0.958324798086688,0.102524502187531,8.9934202676069e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2769689,0.970161657021311,0.100689728821292,5.68033862433112e-22,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs280151,0.955232226694157,0.102620013586618,1.29723737185813e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2820309,0.954366052183754,0.102784476456185,1.61527211705659e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2847308,0.945190657579352,0.102599017664065,3.18696963054974e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs28489718,0.953355986830792,0.102656265720795,1.58883509323099e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs28752936,0.947406824087645,0.10242565265304,2.25118190155843e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs28780988,0.950044592047222,0.103057171671135,3.00956800665217e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2967440,0.956128151068065,0.102539991728668,1.11569657090456e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs2998315,0.963477207607678,0.102155008241008,4.04180910098275e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs302153,0.953807064021706,0.102684381392934,1.56146340151212e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs310333,0.95703936197036,0.102638023989426,1.11599233721286e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs324800,0.961742090018764,0.102187317986234,4.88826409580115e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs34004794,0.953673695073742,0.102720483221452,1.62983316533481e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs34299746,0.944733815443178,0.102589612735303,3.29593761771206e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs34811474,0.94545973821362,0.102510578331404,2.88778957108884e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs35609938,0.95608174238353,0.102655784774553,1.23720842852951e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs35693214,0.945160004529648,0.102040881869449,1.99584482125086e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs35757374,0.954655517501101,0.102645067700395,1.39721892458686e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs3756334,0.941576152040432,0.101950350028919,2.56760107156211e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4141336,0.947989778955014,0.102524957693913,2.32117255970361e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4318028,0.947146850374149,0.102450822764619,2.35477134751309e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4476839,0.948796313661739,0.102477507054359,2.07166738340482e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4588900,0.960516275837528,0.102508816235258,7.24744438317369e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4601350,0.951801222031391,0.102675493548079,1.86156176431581e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4619804,0.933522696898517,0.101416594144563,3.42206558085495e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4701803,0.951571738581174,0.10270223306283,1.94445605574094e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4774589,0.956983343181698,0.102600590463959,1.08633522800163e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4886140,0.963093621028717,0.102154835140462,4.1884789318421e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4887784,0.962868728871779,0.101989400222325,3.69694814675948e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4895286,0.940003085310112,0.101903661510866,2.85075833008007e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4896976,0.961270574134737,0.102151089811643,4.9480699587514e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs4937651,0.952958962191858,0.102671506496597,1.66904945029091e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs529200,0.942351291020034,0.102186672481165,2.91987766879405e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs55813580,0.951151468691551,0.102620239638652,1.88510139701843e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs55933406,0.95742006138672,0.102506839705796,9.62792929124471e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs55966171,0.955689206886853,0.102667649722054,1.29562525100273e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs56274864,0.947166329842489,0.102446693207391,2.34241146413361e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs5745486,0.948595251639488,0.102231294995874,1.71216957889681e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs589092,0.952440695303451,0.102709423654803,1.80714749872798e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs58983677,0.972284521202758,0.101048695672668,6.46008677626421e-22,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs598632,0.950847817085148,0.102649906026057,1.98735854869089e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs598769,0.951085649830911,0.102687789238828,2.00796649488009e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs60512741,0.967791824714435,0.101233057158353,1.17714021142288e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6122427,0.937527967467666,0.101164017173495,1.90728788474962e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs61781371,0.951032151249954,0.102652936120701,1.95921453083342e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs61907884,0.94898694986904,0.102588229573238,2.23556404822577e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs62339678,0.968896280498451,0.101647590807642,1.5440694662592e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs62444907,0.946734915591964,0.102673670220771,2.94850580370884e-20,DD
