exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10050620,-1.30046979471334,1.42551496728193,0.36162097055701
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11017772,-0.801001371266527,1.9606600729509,0.682879776582612
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11021352,-2.76363062102728,2.07272296577046,0.182422439451736
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11022019,0.274142699338026,1.80611660740347,0.879355949923934
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11071411,0.19061779226473,1.0960523055222,0.861933801629757
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11122450,1.21849438640946,1.44122991940904,0.397857101105797
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11150745,-1.18965384910584,1.17046588379768,0.30944206699512
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11160752,2.20402137752815,1.73067450450197,0.202839157072392
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11223641,-1.57993030872928,2.44071992520937,0.517423935693017
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11264489,2.94844624790446,1.37820092813925,0.0324077974536043
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs112852122,-2.71061772117415,1.00796839882858,0.00716258127747349
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs113230003,1.56473581863741,1.44603172205112,0.279212737759125
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11343,4.75660823654857,1.59511635727158,0.00286388853361295
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs113624107,-5.13355317702306,1.66560805259344,0.00205552988138453
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs113728099,-1.95386750833267,1.19059196586184,0.10077891919741
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs113866544,-0.886859934285133,0.852936330241439,0.298445502688412
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs113963976,-2.16743884170152,1.56869883018177,0.167070165574157
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11563357,-2.22379769561514,1.46893058792927,0.130054022673446
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11570784,0.787216591723098,1.54146076075622,0.609564511325862
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11613130,1.64437696015701,1.99579622986799,0.409984864544175
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11619393,1.99073279560666,1.75047194096448,0.255431741642875
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11619722,0.633981403212172,1.4205879590495,0.655394285050167
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11620422,1.93194143167028,2.24263376717281,0.388984215583884
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11638950,1.86057637998286,1.81073951266189,0.304174291153514
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11656758,-2.38185308169756,1.28253627476023,0.0632908322333453
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11660167,1.4789780576298,1.73071900360934,0.392802835278636
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11664106,0.605609789813907,1.54035533496146,0.694199543672408
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1167309,0.451252011477127,0.953589156329022,0.63606030676127
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11691869,1.6678142452758,0.872159742942392,0.0558401997373788
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11704728,-3.40513066315169,1.32810081583336,0.0103500445860027
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs117068593,0.510104571437145,1.17023989917933,0.662911145572604
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11709291,-2.55144823355212,1.61973960894039,0.115205386401057
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs117113729,3.22283402629509,1.65411844027419,0.0513707587701186
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs117342986,2.17862247175367,2.05576782109087,0.289253363527781
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11757278,1.34308080115477,1.58342157609825,0.39631864272995
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11777625,0.575241601472619,1.36307249044599,0.673011624647545
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11782074,-1.56847786124868,1.41790398656881,0.268642260584687
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11789898,-2.50055729474592,1.26966281244851,0.0488996434924622
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs118019496,1.23348617219467,1.53973101494645,0.423070877849435
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11841757,0.299500562575381,1.0522992739135,0.775938823322683
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11852419,0.634837240866006,1.36818370876294,0.642647745631385
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11866219,-0.0895399437689153,0.99389337583496,0.928215624159341
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1188162,-2.08965541713596,1.44567355902488,0.148330251784507
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11917831,3.90008914489474,1.6143226130883,0.0156951126696111
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11926346,1.02790144525154,1.359482556623,0.449590704210959
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11943564,-0.0972362224375824,1.83128218924114,0.957654346747982
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1202551,3.11634881306239,1.74683229431748,0.0744236651594009
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12042959,1.42083222547195,1.23803509704866,0.251112664141615
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12050481,0.360228003136103,0.805215536421876,0.654609072682014
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12071132,-3.83222243284645,1.82389196001783,0.0356301181216516
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12072739,1.08507777991166,1.12348761282888,0.334138279832111
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12122664,1.83374405682232,1.45116436151407,0.206360575453439
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12124126,1.79476092968616,0.987118511327389,0.0690363479944153
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12135541,-0.022686540075773,1.95104244651648,0.9907224816154
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12186509,-1.53318227781731,1.47466387026703,0.298487415171489
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1225004,2.08580604621937,1.07344829993716,0.0520053538081843
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1229984,2.58101165777514,3.13261542514655,0.409987345279651
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12309338,1.88472122667282,1.97494724284332,0.339924358750755
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12316080,0.935453695042096,1.09136264421578,0.391365938307552
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12343333,0.857434384833701,1.64341590426459,0.601851975770549
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12362262,0.201278521166449,1.5699724650983,0.897986641842342
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12375196,-1.57532961667781,1.31077044441131,0.229427515415134
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12413353,2.51782145498607,1.77296594121936,0.155573230899353
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12435249,-0.426297436247218,1.56309059957313,0.785062868547559
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12441543,0.075088604553373,1.50177209106746,0.960122388323255
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12461110,1.89101555686333,1.92361927336097,0.325582413807624
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12462975,0.831733401720302,1.35156677779549,0.538300749018723
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12480556,1.2497198903694,1.72375157292331,0.46845203042539
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12531825,-0.951119897055258,1.3147833871058,0.469431557645556
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12538435,-0.557010603663084,1.33000491078736,0.675359806070275
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12540060,1.20020629288361,1.65176905654279,0.467459566429573
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1256570,2.95514255526724,2.02407024333372,0.144290073931788
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12588874,0.962710647038908,1.18986709184584,0.418462856992962
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12607778,-1.96318228630278,1.85054067971164,0.288749182280546
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12628603,1.13315446280295,1.38496656564804,0.413253375493641
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12635614,2.86325361051942,1.19302233771642,0.0163950718491922
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12665922,0.821939963914184,1.51130896590673,0.586538057936862
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12724928,-1.20182229799603,1.09002487492663,0.270216506507971
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1274232,-0.0987436766068634,2.24831755966397,0.964969034734029
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12803615,-0.76134939310584,1.57909503755285,0.62970446671531
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12806052,-0.766297023772824,1.39166585926559,0.581885343007756
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12877270,0.0908481125547549,1.65040737807805,0.956101918947228
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12890931,0.10177443731458,1.11951881046038,0.927564826606211
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12895351,1.50944535430456,1.37107953015998,0.270932594813768
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12907408,1.08522835627942,1.4223866805604,0.445485484350972
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12932141,-1.37540485174061,1.5737805515109,0.382145712452715
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12937411,-1.39559668101735,1.19471534056788,0.242749655409214
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs12996154,3.47393877850968,1.82604474254996,0.0571137833008737
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs13026103,-0.637630804545706,1.43166161775357,0.656046498896582
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs13033310,1.53617134894132,1.54836318504403,0.321136072513425
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs13107325,0.613509911358396,1.96746281918382,0.755171276064599
