exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p,outcome_code
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1002655,0.0711842202894733,0.0181548756858264,8.82033774834888e-05,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10736549,0.0698261108131188,0.0181929530370878,0.000123997266870329,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10752160,0.0686225554317621,0.0182444128056842,0.00016903827060853,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10812851,0.0672918447340399,0.0182398097604337,0.000224885757158077,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10852673,0.0682276883290131,0.0182581915304871,0.000186357645771591,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10868239,0.0696494711958789,0.0181960892974513,0.000129337605925566,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10892018,0.0679719988557547,0.0182472512397154,0.000195273304354085,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10920270,0.0688500923982767,0.0182410395746466,0.000160353993540892,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11046954,0.0698887208009856,0.0181868105801277,0.000121626456227555,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11090045,0.0682949679060632,0.0182863384016276,0.000187899075390747,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1109027,0.068610453314093,0.0182775506723752,0.000174166868962438,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11143946,0.0690460097486524,0.0182459433534271,0.000154213609029241,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs111642945,0.0683086434895539,0.0182224143679611,0.000177820505363746,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs112380602,0.0683163242445674,0.018238325931928,0.000179851121463809,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs114514659,0.0689025574878542,0.0181901709695893,0.000151925672186659,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11509880,0.0665760617309411,0.0181685595841934,0.000247962155728868,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs115400597,0.0691153019701903,0.0182350574232854,0.000150499871441968,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11572766,0.0702192118849516,0.01810807177724,0.000105411742089616,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11592989,0.0698141271915462,0.0181733218943537,0.000122248792326476,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11603808,0.0721293822287821,0.018053572558106,6.46132319989915e-05,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11627348,0.0675184710526551,0.0182331965118553,0.000213021370109135,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11633354,0.0694463297226177,0.01824203646478,0.000140697129770931,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11665070,0.0682502341225132,0.0183035856719366,0.000192401115297297,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11668451,0.0674604097275914,0.0181955894692209,0.000209303529638458,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11725031,0.0684298589210916,0.0182449190339339,0.000176393976771762,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11757117,0.0687836917544516,0.0182368427278938,0.000162146535253474,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs117618156,0.0672061884325199,0.0181964339031835,0.00022130045340826,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11774503,0.0672044874032001,0.0181916665643965,0.000220540410897529,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs11931401,0.0667535674304964,0.018135029127096,0.00023239512284117,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12127965,0.0691575672840474,0.0182541499049673,0.00015150211955093,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12133062,0.0678335421860359,0.0182330323214407,0.000198934761667581,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12137398,0.0680550632474195,0.0182504170432163,0.000192272163491055,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12203592,0.0680508018829037,0.0182072464745476,0.000185809653823379,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12466146,0.068602286694638,0.0182604853174536,0.000172051167888945,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12517438,0.0670650584929094,0.0182029792813669,0.000229340818995358,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12530421,0.0690831575804629,0.0182101471852893,0.000148441240544558,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12601333,0.066610725283532,0.0181552593535792,0.000243549410841642,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12638014,0.06862717119034,0.0182447097046425,0.000168908688644186,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12668246,0.0700349328395834,0.018149149672705,0.000113919605003659,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12783907,0.0687891694130185,0.0182533713568899,0.000164183220731837,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1283250,0.0677736508039446,0.0182273168718236,0.000200610744938436,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1289871,0.0673489437764973,0.0182087870135639,0.000216701715318981,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12924194,0.0675298318869762,0.0182320315887024,0.000212300331079821,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12930844,0.0681133155119053,0.0182441943187357,0.000188894103447472,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12944515,0.0701580765753728,0.0181119843238813,0.00010725167120735,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs12995382,0.0694010604975761,0.0182076791036967,0.000138049595388844,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13024020,0.0685949080687326,0.0182406584813357,0.000169540188486862,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13030084,0.0696437968594037,0.0181916758802405,0.000129014016804897,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13132699,0.0692643595773228,0.0182239830422247,0.000144272975866088,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13157212,0.0677066557707207,0.0182298164544718,0.000203959355590732,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13162125,0.0674255846023466,0.018218630484179,0.000214824281037898,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13227328,0.0677698368986246,0.0182239194197945,0.00020022688524048,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13239186,0.0694701843591789,0.0182382740313016,0.000139511440888601,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13249776,0.0691985685844279,0.0182252552756722,0.000146546140136028,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13262595,0.0681538803421068,0.0182438159307919,0.000187175089297141,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13335882,0.0682046358918956,0.0182432391095553,0.000185029241912842,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs13381524,0.0676957672247834,0.0182261883916139,0.00020384495576272,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1372517,0.0679253601885213,0.0182534453619717,0.000198250819518147,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1424144,0.0681101183650632,0.0182430690414676,0.00018885281487071,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1431071,0.0674586143601083,0.0182448935503334,0.00021782156889533,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1439158,0.0683100166702892,0.0182416600434529,0.000180590831832835,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs145375607,0.0694370929274158,0.0183111762685015,0.000149402349376851,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1490384,0.0679302648908924,0.0182428644824833,0.000196353610887767,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs149247020,0.0677122253039338,0.0181794484275796,0.000195580303249367,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1524707,0.0692371690151168,0.0182250328562866,0.000145272435377369,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1542212,0.0675024942300736,0.0182570247158786,0.000217867329016735,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1563245,0.0678748287076762,0.0182590742369834,0.000201347046352405,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs157282,0.0683532694243122,0.0182465367821961,0.000179608235684034,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1578104,0.0688766598837907,0.0182484543916318,0.00016040403133433,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs16914658,0.0681963569076431,0.0182308360194769,0.000183497696019519,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs16919743,0.0681460323320517,0.0182443862832672,0.000187582374827201,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17039353,0.068300233591935,0.0182473473064708,0.00018181985954438,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17096778,0.067358773075777,0.0181705555304894,0.000209705084171207,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17131213,0.0693411525147948,0.0182253470930461,0.000142002141012762,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17462745,0.0674236054591448,0.0181947673289794,0.000210841713328549,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17569194,0.0691145604293472,0.0182435293503759,0.000151594718533495,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17583539,0.0684706825345543,0.0182552405371318,0.000176312618511667,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17652520,0.0662993001594707,0.0182077159569695,0.000271291205758181,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17693460,0.0691898319882201,0.0182205084537308,0.000146245258854023,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17748116,0.0690258918001586,0.018233501108113,0.000153299266024163,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1782170,0.071004990643839,0.0181090011942169,8.81904087675635e-05,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs17823635,0.0674179095578775,0.0182250147764377,0.000216283165990549,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1828494,0.069718862836359,0.0181787143542321,0.000125466160807734,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1892350,0.0682857702849885,0.0182604036400342,0.000184346851475432,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1903844,0.0682365039652489,0.018259761321346,0.000186238009940591,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1913327,0.0693225537397204,0.018225853196564,0.000142649520674778,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs192680842,0.0688640136269279,0.0181933128040986,0.000153629622858776,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1940735,0.0667216770315772,0.0182346651577249,0.000253145152751286,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs194179,0.0679534723434436,0.0182429889963526,0.000195385757574358,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1962104,0.0689967762624729,0.0182468712363384,0.000156015583315158,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs198457,0.0684586105808418,0.0182383592417616,0.000174347077906106,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2015971,0.0675542364757122,0.0182399041659913,0.00021251871447401,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2042395,0.0688926348264781,0.018258617819259,0.000161194665789899,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2071754,0.0693185228499381,0.0182737035805894,0.000148629432696501,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2074737,0.0691825147942803,0.0182320404796538,0.000147907367673962,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2094580,0.0684150827261132,0.0182719418772729,0.00018091906269333,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2165114,0.0683562859688493,0.0182470692673873,0.000179568168248694,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2199036,0.0692161995791404,0.0182490617336626,0.000148920044759398,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2269426,0.0657546083394756,0.018154818454627,0.000292467644864691,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2278609,0.0714205812693066,0.0181265775312377,8.14466553902381e-05,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2280711,0.0660895747779643,0.0181615992255645,0.000273727168206079,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2389619,0.0677661844331599,0.0182369035634082,0.000202495955065458,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2407746,0.0686071959686652,0.0182675990743664,0.000172873748943447,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs240788,0.068651509072471,0.0182551494092437,0.000169461968845476,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2453473,0.0692315189042805,0.0182440215355259,0.000147791704792081,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2488401,0.0684199420447385,0.0182518739442676,0.000177786864914147,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2520596,0.0697665587342319,0.0181877205008483,0.000125097423900085,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2613508,0.0678223928981305,0.0182329308698265,0.000199400659345122,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2628213,0.0686236575311663,0.0182508836709808,0.000169900893147408,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs264524,0.0691529393021254,0.018234066573461,0.000149130283421015,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2715147,0.0686840449414175,0.018250172480839,0.00016756932821199,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2717043,0.0682361472684861,0.0182708279533032,0.000187935566593886,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2718339,0.0671565224930359,0.0181976960014615,0.000223914023198092,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2721939,0.0672222933373355,0.018207349135851,0.000222460926021612,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2791459,0.0688987104896196,0.0182610328268112,0.000161302180174112,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs2824423,0.0690246301768886,0.0182399563248556,0.000154170227762712,IHD
